Company Code,Account,Document Type,Posting Date,Document Date,Amount in doc. curr.,Document currency,Amount in local currency,Local Currency,Text/Billing doc,Assignment,Posting period,Fiscal Year,Document Header Text,Clearing Doc,Action,AR Comments,Aging,Aging Bucket,Sign,CountIf,Reference,SD Doc,Status,Cnxd,VBAK PO,BSID - Account,BSID Doc,BSID Amount ,Diff.,USD Diff,Diff. %,ZAR_PAY_REPORT
Europe,101071,DC,1/30/2025,1/30/2025,-0.76,EUR,-0.79,USD,2999581807,T0003,3,2025,PP/IS/20250130,1142648552,clear together,clear together,49,46-60,-1,2,2999581807,7179475038,SUCCESS,0,,,,,,,,Not in Bibit
US,101053,DC,2/1/2025,2/1/2025,-22.99,USD,-22.99,USD,3001829827,T0003,3,2025,PP/IS/20250201,1134633368,clear together,clear together,47,46-60,-1,2,,7087891020,,,,,,,,,,Not in Bibit
Europe,101077,DC,2/2/2025,2/2/2025,-29.1,NZD,-16.46,USD,3001018491,T0003,3,2025,PP/WO/20250130,104860983,write off,misc - CM cleared,46,46-60,-1,1,,#N/A,,,,,,,,,,Not in Bibit
US,101053,DC,2/3/2025,2/3/2025,-12.99,USD,-12.99,USD,3003030347,T0003,3,2025,PP/IS/20250203,1134633368,clear together,clear together,45,31-45,-1,2,,7135007923,,,,,,,,,,Not in Bibit
Europe,101071,DC,2/5/2025,2/5/2025,-19.34,EUR,-20.15,USD,2994975530,T0003,3,2025,PP/IS/20250205,1142648552,clear together,clear together,43,31-45,-1,2,2994975530,7192247769,SUCCESS,0,,,,,,,,Not in Bibit
US,101053,DC,2/6/2025,2/6/2025,-22.99,USD,-22.99,USD,3005723977,T0003,3,2025,PP/IS/20250206,1134633368,clear together,clear together,42,31-45,-1,2,,7189201383,,,,,,,,,,Not in Bibit
US,101326,DC,2/8/2025,2/8/2025,-1388.89,MXN,-67.76,USD,3006957759,T0003,3,2025,PP/IS/20250207,1134633367,clear together,clear together,40,31-45,-1,2,,7124495151,,,,,,,,,,Not in Bibit
Europe,101071,DC,2/14/2025,2/14/2025,-16.25,EUR,-16.85,USD,3005641121,T0003,3,2025,PP/IS/20250214,1142648552,clear together,clear together,34,31-45,-1,2,3005641121,7193490602,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101072,DC,2/14/2025,2/14/2025,-56.98,GBP,-70.97,USD,3006866642,T0003,3,2025,PP/IS/20250214,1142648553,clear together,clear together,34,31-45,-1,2,3006866642,7142631913,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101071,DC,3/7/2025,3/7/2025,19.99,EUR,20.89,USD,2786455714,T1107,4,2025,PP/IS/20250307,104860980,write off,Manual refund,13,11-20,1,1,2786455714,7161287556,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101071,DC,2/19/2025,2/19/2025,-0.84,EUR,-0.87,USD,3016860624,T0003,3,2025,PP/IS/20250219,1142648552,clear together,clear together,29,21-30,-1,2,3016860624,7183158293,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101072,DC,2/20/2025,2/20/2025,-19.97,GBP,-24.92,USD,,T0003,3,2025,PP/IS/20250220,1142648553,clear together,clear together,28,21-30,-1,2,,#N/A,,,,,,,,,,Not in Bibit
Europe,101072,DC,2/21/2025,2/21/2025,-141.25,DKK,-19.7,USD,,T0003,3,2025,PP/IS/20250221,email 3/19,MBD SAP,order in ECC/no invoice,27,21-30,-1,1,,7195868391,,,7195868391,,,,,,,Not in Bibit
Europe,101071,DC,2/21/2025,2/21/2025,-55.84,EUR,-58.09,USD,3014507883,T0003,3,2025,PP/IS/20250221,1142648552,clear together,clear together,27,21-30,-1,2,3014507883,7151364820,SUCCESS,0,,,,,,,,SETTLEMENT
Europe,101071,DC,3/7/2025,3/7/2025,12.09,EUR,12.63,USD,3035127376,T1107,4,2025,PP/IS/20250307,104860980,write off,Manual refund,13,11-20,1,1,3007064042,7150368606,SUCCESS,,,1431893,6524236181,-18.3,-6.21,-6.49,34%,Not in Bibit
Europe,101077,DC,2/23/2025,2/23/2025,-44.51,NZD,-25.51,USD,3022325258,T0003,3,2025,PP/IS/20250223,1142648556,clear with OI,clear with OI,25,21-30,-1,1,3021887215,7196187443,SUCCESS,,7196187443,1417722,6517767046,44.51,0,0,0%,Not in Bibit
Europe,101071,DC,2/23/2025,2/23/2025,-66.45,EUR,-69.52,USD,3018584567,T0003,3,2025,PP/IS/20250223,1142648552,clear together,clear together,25,21-30,-1,2,3018584567,7092648927,SUCCESS,0,,,,,,,,SETTLEMENT
Europe,101071,DC,2/24/2025,2/24/2025,-19.83,EUR,-20.74,USD,3022853880,T0003,3,2025,PP/IS/20250224,1142648552,clear together,clear together,24,21-30,-1,2,,7078469552,,,,,,,,,,Not in Bibit
US,101053,DC,2/25/2025,2/25/2025,-39.62,USD,-39.62,USD,,T0003,3,2025,PP/IS/20250225,1134633368,clear together,clear together,23,21-30,-1,2,,#N/A,,,,,,,,,,Not in Bibit
Europe,101071,DC,3/7/2025,3/7/2025,19.83,EUR,20.72,USD,3035520692,T1107,4,2025,PP/IS/20250307,104860980,write off,Manual refund,13,11-20,1,1,3007273797,7149242123,SUCCESS,,,1431893,6524413772,-35.87,-16.04,-16.76,45%,Not in Bibit
Europe,101071,DC,3/7/2025,3/7/2025,19.34,EUR,20.21,USD,3035133762,T1107,4,2025,PP/IS/20250307,104860980,write off,Manual refund,13,11-20,1,1,3007385509,7150273905,SUCCESS,,,1431893,6524239280,-34.99,-15.65,-16.35,45%,Not in Bibit
